"id" "rt" "err" "stim" "type" "img" "word" "order"
"75" "6101" 6.28599809450886 0 "BLAND" "word" "low" NA -0.653693094723067
"76" "6101" 6.20657592672493 0 "PRONE" "word" "low" NA -0.639482375272566
"77" "6101" 6.16331480403464 0 "BOG" "word" "low" NA -0.625271655822064
"78" "6101" 6.18620862390049 0 "FAN" "word" "high" NA -0.611060936371563
"79" "6101" 6.5792512120101 0 "LALE" "nonword" NA "more" -0.596850216921061
"80" "6101" 6.22455842927536 0 "GHOST" "word" NA NA -0.58263949747056
"81" "6101" 6.4150969591716 0 "TAIZE" "nonword" NA "less" -0.568428778020059
"82" "6101" 6.31354804627709 0 "VICE" "word" "low" NA -0.554218058569557
"83" "6101" 6.34212141872115 0 "CAIK" "pseudohomophone" NA "less" -0.540007339119056
"84" "6101" NA 1 "PRIM" "word" "low" NA -0.525796619668554
"85" "6101" 6.37842618365159 0 "FURT" "nonword" NA "more" -0.511585900218053
"86" "6101" 6.59441345974978 0 "LASH" "word" NA NA -0.497375180767551
"87" "6101" 6.51619307604296 0 "TRAX" "pseudohomophone" NA "more" -0.48316446131705
"88" "6101" 6.84054652928869 0 "WAIK" "pseudohomophone" NA "less" -0.468953741866548
"89" "6101" NA 1 "DAMP" "word" NA NA -0.454743022416047
"90" "6101" 6.18826412308259 0 "SOCK" "word" "high" NA -0.440532302965545
"91" "6101" 6.82654522355659 0 "BARK" "word" NA NA -0.426321583515044
"92" "6101" 7.05875815251866 0 "ITCH" "word" NA NA -0.412110864064542
"93" "6101" NA 1 "THRET" "pseudohomophone" NA "more" -0.397900144614041
"94" "6101" 7.11801620446533 0 "LAG" "word" "low" NA -0.383689425163539
"95" "6101" 6.5424719605068 0 "HAIT" "pseudohomophone" NA "more" -0.369478705713038
"96" "6101" 6.35610766069589 0 "KERSE" "pseudohomophone" NA "more" -0.355267986262537
"97" "6101" 6.86589107488344 0 "ENVY" "word" NA NA -0.341057266812035
"98" "6101" 6.63068338564237 0 "GUY" "word" "high" NA -0.326846547361534
"99" "6101" 6.57646956904822 0 "VOID" "word" NA NA -0.312635827911032
"100" "6101" 6.56667242980324 0 "BLINK" "word" "high" NA -0.298425108460531
"101" "6101" 6.39692965521615 0 "NOAK" "nonword" NA "more" -0.284214389010029
"102" "6101" 6.50727771238501 0 "RIOT" "word" NA NA -0.270003669559528
"103" "6101" 6.55677835615804 0 "MAIT" "pseudohomophone" NA "more" -0.255792950109026
"104" "6101" 6.41345895716736 0 "PEEZ" "pseudohomophone" NA "less" -0.241582230658525
"105" "6101" 6.5424719605068 0 "REET" "nonword" NA "more" -0.227371511208023
"106" "6101" NA 1 "MOOR" "word" "low" NA -0.213160791757522
"107" "6101" 6.78784498230958 0 "PRIDE" "word" "low" NA -0.19895007230702
"108" "6101" 6.30078579466324 0 "BRAX" "nonword" NA "more" -0.184739352856519
"109" "6101" 6.35957386867238 0 "TOLPH" "nonword" NA "less" -0.170528633406018
"110" "6101" 6.2841341610708 0 "ZOO" "word" NA NA -0.156317913955516
"111" "6101" 6.42486902390539 0 "FLAME" "word" NA NA -0.142107194505015
